SID,AnimalID,CellName,Type,Date,Depth,Count
W1_C1,W1,C1,S1_L2/3,2019 12 09,177.26539554219744,180
W1_C2,W1,C2,S1_L2/3,2019 12 09,265.89809331329616,270
W1_C8,W1,C8,S1_L2/3,2019 12 10,315.13848096390655,320
W2_C3,W2,C3,S1_L2/3,2019 12 12,236.35386072292994,240
W2_C4,W2,C4,S1_L2/3,2019 12 12,285.59424837354032,290
W2_C5,W2,C5,S1_L2/3,2019 12 12,408.69521750006635,415
W2_C6,W2,C6,S1_L2/3,2019 12 12,196.9615506024416,200
W3_C10,W3,C10,S1_L2/3,2019 12 18,364.37886861451699,370
W3_C11,W3,C11,S1_L2/3,2019 12 18,226.50578319280785,230
W4_C10,W4,C10,S1_L2/3,2019 12 18,206.80962813256369,210
W3_C12,W3,C12,S1_L5,2019 12 18,768.15004734952231,780
W3_C13,W3,C13,S1_L5,2019 12 18,684.44138834348462,695
W3_C14,W3,C14,S1_L5,2019 12 18,620.42888439769104,630
W3_C15,W3,C15,S1_L5,2019 12 18,886.32697771098719,900
W3_C16,W3,C16,S1_L5,2019 12 18,792.77024117482745,805
W4_C11,W4,C11,S1_L5,2019 12 18,846.93466759049886,860
W4_C12,W4,C12,S1_L5,2019 12 18,600.73272933744693,610
W4_C13,W4,C13,S1_L5,2019 12 18,689.36542710854565,700
W4_C14,W4,C14,S1_L5,2019 12 18,866.63082265074308,880
W4_C15,W4,C15,S1_L5,2019 12 18,684.44138834348462,695
W1_C3,W1,C3,M1_L2/3,2019 12 09,305.29040343378449,310
W1_C4,W1,C4,M1_L2/3,2019 12 09,374.22694614463904,380
W1_C5,W1,C5,M1_L2/3,2019 12 09,216.65770566268577,220
W1_C6,W1,C6,M1_L2/3,2019 12 09,305.29040343378449,310
W2_C1,W2,C1,M1_L2/3,2019 12 12,142.79712418677016,145
W2_C2,W2,C2,M1_L2/3,2019 12 12,315.13848096390655,320
W3_C1,W3,C1,M1_L2/3,2019 12 17,374.22694614463904,380
W3_C2,W3,C2,M1_L2/3,2019 12 17,157.56924048195327,160
W3_C3,W3,C3,M1_L2/3,2019 12 17,384.07502367476116,390
W3_C7,W3,C7,M1_L2/3,2019 12 17,315.13848096390655,320
W4_C1,W4,C1,M1_L2/3,2019 12 17,413.61925626512738,420
W4_C2,W4,C2,M1_L2/3,2019 12 17,211.73366689762472,215
W2_C7,W2,C7,M1_L5,2019 12 12,502.2519540362261,510
W3_C4,W3,C4,M1_L5,2019 12 17,581.0365742772027,590
W3_C5,W3,C5,M1_L5,2019 12 17,492.40387650610398,500
W3_C6,W3,C6,M1_L5,2019 12 17,763.22600858446117,775
W3_C8,W3,C8,M1_L5,2019 12 17,640.12503945793526,650
W4_C3,W4,C3,M1_L5,2019 12 17,915.87121030135347,930
W4_C4,W4,C4,M1_L5,2019 12 17,649.97311698805731,660
W4_C5,W4,C5,M1_L5,2019 12 17,600.73272933744693,610
W4_C7,W4,C7,M1_L5,2019 12 17,581.0365742772027,590
W4_C8,W4,C8,M1_L5,2019 12 17,876.47890018086514,890
